comments,star_rating,tags,compound,sentiment_category,professor_name,ranked_tags_w2v,Tag1,Tag2,Tag3,Tag4,Tag5
Mr. Annunobi was a funny teacher. His class was very easy. I got an A out of the class. I hardly study for his class. I never did my homework. The tests were fairly easy.,2.8,"funny, easy, A, hardly study, never did homework, fairly easy",0.8271,positive,Robert Warden,"funny, easy, never did homework, hardly study, fairly easy",funny,easy,never did homework,hardly study,fairly easy
"I overall enjoyed Charles\'s class. However, he IS pretty disorganized at times. He does drone on often like people say but I really appreciate how passionate he is about what hes talking about. Hes flexible with late papers but hes also a tough grader!!! People complain about him being boring but hes a really nice professor and an invested guy.",3.9,"disorganized, passionate, flexible, tough grader, boring, nice professor, invested",0.4767,positive,Nancy Jones,"boring, passionate, disorganized, flexible, invested",boring,passionate,disorganized,flexible,invested
Dr. Sgroi was one of the best professors I ever had the privilege to learn from. A true mentor!,3.5,"best professor, privilege to learn from, true mentor",0.8591,positive,Jans Wager,"true mentor, privilege to learn from, best professor",true mentor,privilege to learn from,best professor,,
"Teacher was inconsistent about due dates, which is a struggle with such a difficult, essay heavy class. We had three big projects due in one day. A lot of group essays which suck. Be prepared to pull a lot of all nighters. Will hurt your GPA, but the class is very interesting and she\'s nice about extra credit, second chances and personal struggles.",2.3,"inconsistent, difficult, essay heavy, struggle, big projects, group essays, all nighters, hurt GPA, interesting, nice, extra credit, second chances, personal struggles",-0.2023,negative,William Hollinrake,"difficult, interesting, nice, inconsistent, struggle",difficult,interesting,nice,inconsistent,struggle
"Mrs. Brown is very happy with life and her family, and it shows through her personality. She can be tough on grading, but I found her to be fair. Showing interest in what you are doing and class participation will get you a passing grade. Who wants to pass a class without deserving it? OH! you have to study & ask questions for clarification.",3.8,"happy, fair, tough, interested, fair, study, ask questions",0.8591,positive,Mima Petrovic,"fair, fair, happy, interested, tough",fair,fair,happy,interested,tough
"No one here is an english major here, it seems she thinks otherwise. Take at least one letter grade off for what you think your paper should get. Every single word of a paper will be looked at with insane scrutiny. Avoid at all costs.",2.4,"strict, critical, demanding, high expectations",-0.4939,negative,Leslie Looney,"demanding, strict, critical, high expectations",demanding,strict,critical,high expectations,
"funny professor he makes you laugh and he helps you on any problem , i will take him again anytime",4.9,"funny, helpful, approachable",0.6908,positive,Jans Wager,"approachable, helpful, funny",approachable,helpful,funny,,
DO NOT!!! AND I REPEAT DO NOT TAKE HIM!! HE MADE ME HATE BIOLOGY. HE EXPECTS YOU TO STUDY 6 HRS A DAY LIKE YOU DONT HAVE A LIFE. HE DOESN\'T ANSWER YOUR QUESTIONS -NO REVIEW... AND 75% OF WHAT YOU STUDIED ISNT ON THE TEST. ONLY TAKE HIM IF YOU WANT TO SIGN OVER YOUR SANITY... WHAT A FREAKING WASTE,3.2,"difficult, unhelpful, overwhelming, demanding, frustrating, waste",-0.8442,negative,Robert Warden,"frustrating, difficult, unhelpful, overwhelming, demanding",frustrating,difficult,unhelpful,overwhelming,demanding
Her projects are very time consuming and she gives a midterm and final paper. This is an art class for God\'s sake! Just because she was once an english major does\'nt mean we need to suffer. Take her class if yiu want a pain up your ass!,4.3,"demanding, time-consuming, challenging",-0.0772,negative,Jeffrey Kent,"demanding, challenging, time-consuming",demanding,challenging,time-consuming,,
"Hard to stay awake and pay attention. Too much material to go through to prepare for tests. Would not take him again. Unless you absolutely have to, or if this is the only class you\'re taking, don\'t take him. :(",1.7,"Hard, boring, overwhelming, not recommended",-0.5093,negative,Leslie Looney,"boring, hard, overwhelming, not recommended",boring,hard,overwhelming,not recommended,
Time flies by. Do your work and hand it in on time. Youll learn how to write and will enjoy the class.It was my favorite class.,4.5,"hardworking, organized, engaging, favorite",0.6597,positive,Clark,"hardworking, engaging, organized, favorite",hardworking,engaging,organized,favorite,
"Prof Nichols is pretty great, although she is a super hard grader and definitely very particular about citations and following MLA format. I really disliked how many in class essays we had for her class (three in class, two out of class). Her harsh grading definitely helped my writing skills though. Don\'t take her if you want an easy A.",3.5,"strict, particular, harsh, challenging",-0.3182,negative,Bryan Eldredge,"harsh, strict, challenging, particular",harsh,strict,challenging,particular,
"Such an amazing and wonderful lady. I learned so much in her class and didn\'t miss a day or wish to miss a day ever! Teachers and classes like hers is what college is all about. I want to take her as much as I can and I\'m not even an english major. Wonderful person, makes you think! A MUST!",4.5,"amazing, wonderful, learned so much, didn't miss a day, college is all about, want to take her, makes you think, MUST",0.8593,positive,Robert Warden,"amazing, wonderful, must, want to take her, makes you think",amazing,wonderful,must,want to take her,makes you think
"Yasmin is an ANGEL, hands down the best professor at Penn State. She\'s a delightful professor and really cares for her students. I went into this class terrified because i knew no Spanish whats so ever, she really helps you get through the class. She\'s helpful and humorous, her class isn\'t really boring at all. She\'s over all an outstanding person.",4.5,"#delightful, #caring, #helpful, #humorous, #outstanding",0.0,neutral,Leslie Looney,"#outstanding, #humorous, #helpful, #delightful, #caring",#outstanding,#humorous,#helpful,#delightful,#caring
"The best math professor in his field. Makes difficult concepts very easy to understand. Gives homework everyday for practice but also solves it for you next day, do those and you are all set. Extremely intelligent, helpful and knowledgeable. Makes learning easy by the way he teaches. Take him if you want to learn, be good at math & get a good grade",3.8,"best, easy to understand, intelligent, helpful, knowledgeable, makes learning easy, good at math, good grade",0.9666,positive,Jeffrey Kent,"knowledgeable, intelligent, helpful, best, makes learning easy",knowledgeable,intelligent,helpful,best,makes learning easy
I was not a fan of Human Geography however Urban Geography was my favorite class. Was very interesting and he used multiple relevant examples. I would definitely take another class in the 200300 level with Dr. Eberts.,2.7,"interesting, relevant examples, favorite, would take another class",0.6908,positive,William Hollinrake,"favorite, interesting, would take another class, relevant examples",favorite,interesting,would take another class,relevant examples,
"Very fun but challenging class! If you\'re open minded, by the end of the semester you\'ll know how to tap. Gel is one of my favorite professors. She\'s hard, straight to the point, and a great teacher.",4.4,"fun, challenging, open minded, favorite, hard, straight to the point, great teacher",0.91,positive,Robert Warden,"fun, hard, challenging, favorite, straight to the point",fun,hard,challenging,favorite,straight to the point
Excellent professor. I thoroughly enjoyed his lectures and look forward to future courses with him. He is very knowledgeable and well published in his field.,4.4,"Excellent, knowledgeable, well published",0.7003,positive,Robert Warden,"knowledgeable, excellent, well published",knowledgeable,excellent,well published,,
"Prof. Burns is honestly the best teacher you\'ll ever come across at STCC! He\'s amazing, and helps you out as much as he can. He understands the students and is very flexible. I recommend everyone takes him!",5.0,"best teacher, amazing, helpful, understanding, flexible, recommend",0.9349,positive,William Hollinrake,"helpful, flexible, recommend, amazing, understanding",helpful,flexible,recommend,amazing,understanding
"TAKE THIS CLASS! There are quite a few writing assignments, but you have a ton of time to do them. If you do the work, you\'ll get a good grade. Inman is helpful when you have questions, and he is definately not a hard grader. I got an A with minimal effort. Also, this class does teach important stuff for the future; I learned quite a bit.",3.9,"helpful, not hard grader, minimal effort, important stuff, learned quite a bit",0.5988,positive,Robert Warden,"helpful, not hard grader, minimal effort, learned quite a bit, important stuff",helpful,not hard grader,minimal effort,learned quite a bit,important stuff
"Man, Van Cleave is the greatest professor. He\'s an extremely nice and laid back guy who will let you know exactly what\'s expected. THe class work really isn\'t difficult, but it does require a lot of creative thought which is way more enjoyable than the garbage you have to do in other classess. This class was the Oasis of my semester.",5.0,"friendly, laid back, clear expectations, enjoyable, creative",0.891,positive,William Hollinrake,"enjoyable, friendly, creative, laid back, clear expectations",enjoyable,friendly,creative,laid back,clear expectations
He can\'t speak good english. Unfair maker! You may not get the grade that you worked hard! Lazy professor!,2.6,"unfair, lazy, poor communication",-0.8271,negative,Angelica Vessella,"unfair, lazy, poor communication",unfair,lazy,poor communication,,
"awesome teacher. One of the funniest teachers I\'ve ever had. Assigns a lot of reading, but not an overwhelming amount. Definately try to take her class.",3.8,"awesome, funny, assigns reasonable amount of reading, recommended",0.8316,positive,William Hollinrake,"awesome, funny, recommended, assigns reasonable amount of reading",awesome,funny,recommended,assigns reasonable amount of reading,
He is the BEST professor ever!!! He is by far the best Sociology Professor. Love him. He is very flexible with his schedule. He always asks students if they need help with their essay questions.,4.7,"BEST, Sociology Professor, Love him, flexible, helpful",0.9304,positive,Leslie Looney,"flexible, helpful, best, sociology professor, love him",flexible,helpful,best,sociology professor,love him
"If you want a teacher that doesn\'t teach I\'d recommend her, she gets paid way too much money to not teach us. She isn\'t good at explaining her content well and expects her students to keep up with her nonsense. I love learning and I\'ve had plenty teachers and she is not one I would ever take again. If this allowed a 0 that\'s what I would put.",4.5,"unhelpful, uninformative, ineffective, frustrating",-0.5267,negative,Bryan Eldredge,"unhelpful, ineffective, uninformative, frustrating",unhelpful,ineffective,uninformative,frustrating,
"He is a brilliant. There is an amazing amount of information in this man\'s head. However, he is nit-picky about stupid things. We read the Bible the entire semester. But it was an easy A.",2.7,"brilliant, knowledgeable, nit-picky, easy A",0.7717,positive,Ann Lewald,"knowledgeable, brilliant, nit-picky, easy a",knowledgeable,brilliant,nit-picky,easy a,
"Dr. Fresolla is a great lecturer, makes you connect the dots, is she tough, yeah but not horrible. Test #3 is CHALLENGE but it is a wake up call and makes you realize that this is Nursing and one CANNOT compartmentalize one\'s knowledge! However this is the test that will eliminate many, be prepared for it and respect it! She is Nursing boot camp!",3.2,"great lecturer, connect the dots, tough, challenge, wake up call, Nursing, eliminate many, be prepared, respect, Nursing boot camp",0.836,positive,Robert Warden,"tough, challenge, respect, nursing, wake up call",tough,challenge,respect,nursing,wake up call
"Very interesting course, although Cathy says it\'s the last time she\'ll teach it. Make sure to attend every class- attendance is a big factor. Also, keep up with readings and responses because they account for the majority of your mark. There was a lot of time for personal reflection, which was enjoyable. Good class :-)",4.4,"interesting, attendance, readings, responses, personal reflection, enjoyable",0.6808,positive,Robert Warden,"readings, enjoyable, responses, interesting, attendance",readings,enjoyable,responses,interesting,attendance
"WOW! she is the most unclear professor I\'ve ever had. She expects everyone to grow up and be a professional journalist for the new york times. She grades very hard and unfair, never expect a 10/10 on homework. Don\'t bother asking for her help she won\'t give it to you, she is overall insane and should not be teaching. DONT TAKE A CLASS WITH HER",2.7,"unclear, expects professionalism, hard grader, unfair, unhelpful, insane, should not be teaching",-0.802,negative,Jeffrey Kent,"unfair, unhelpful, insane, unclear, should not be teaching",unfair,unhelpful,insane,unclear,should not be teaching
this guy can talk his butt off. half the time i think i\'m philosophy class instead. hardly any use of any text. all discussions which i guess is good for a liberal arts school to a point but he\'s out of hand.,3.5,"talkative, philosophical, discussion-based, out of hand",0.4939,positive,Deirdre O'Shea,"talkative, philosophical, out of hand, discussion-based",talkative,philosophical,out of hand,discussion-based,
"Very Good Teacher, took her class on-line while deployed and was very understanding and helpful with my situation went out of her way to help out",3.1,"Understanding, helpful, went out of her way",0.4215,positive,Sally Mallory,"helpful, understanding, went out of her way",helpful,understanding,went out of her way,,
"Takes all the math out of statistics, which has its positives and negatives. Weekly homework and various different assignments required. Tests are tough and require a large amount of critical thinking. Class can be painfully boring at times. Best part of the class is the textbook which Professor Velleman wrote himself. Easy textbook to read.",2.5,"- Takes all the math out of statistics
- Weekly homework and various different assignments
- Tests are tough and require a large amount of critical thinking
- Painfully boring at times
- Best part of the class is the textbook which Professor Velle",-0.5106,negative,Robert Warden,"- takes all the math out of statistics
- weekly homework and various different assignments
- tests are tough and require a large amount of critical thinking
- painfully boring at times
- best part of the class is the textbook which professor velle","- takes all the math out of statistics
- weekly homework and various different assignments
- tests are tough and require a large amount of critical thinking
- painfully boring at times
- best part of the class is the textbook which professor velle",,,,
"By far my favorite Case professor. Very prone to tangents relating concepts to real-life problems. When he first starts explaining a concept, it seems a little circuitous, but when he finishes his derivations it\'s crystal clear what he was going for. Absolutely brilliant, and always loves talking to students in his spare time.",3.3,"favorite, prone to tangents, real-life problems, circuitous, crystal clear, brilliant, spare time",0.7717,positive,William Hollinrake,"brilliant, circuitous, favorite, spare time, real-life problems",brilliant,circuitous,favorite,spare time,real-life problems
"Foreman really knows his stuff and is beyond knowledgeable about the subject matter. The class is VERY workload heavy, with weekly case analyses, exams, and group projects. Foreman is a hard grader with high expectations of his students! Be prepared to spend many long nights typing papers and conducting very in-depth case analyses.",3.0,"knowledgeable, workload heavy, hard grader, high expectations, in-depth case analyses",-0.1027,negative,Hon Linda,"knowledgeable, workload heavy, in-depth case analyses, high expectations, hard grader",knowledgeable,workload heavy,in-depth case analyses,high expectations,hard grader
A superior professor.,4.0,superior,0.5423,positive,William Hollinrake,superior,superior,,,,
The most amazing teacher you\'ll ever have!! Super funny and is always there to help. takes the time to meet with you and explain stuff. She is pretty straight forward on what she wants you to know.,4.2,"amazing, funny, helpful, straightforward",0.8591,positive,Bryan Eldredge,"funny, helpful, straightforward, amazing",funny,helpful,straightforward,amazing,
he offered me absolutely no help in the class. i learned less from him than from any teacher i have ever taken. I DO NOT RECOMMEND HIM !!!,4.6,"unhelpful, less effective, not recommended",0.3567,positive,William Hollinrake,"unhelpful, not recommended, less effective",unhelpful,not recommended,less effective,,
"Took him in the summer and he was ABSOLUTELY PHENOMENAL. His grades are based on: attendance, oral presentation, 1 midterm w/ essay, and 1 final w/essay. Essay prompts are given 1 week in advance to prepare for. GO TO CLASS!! His exams are based on lectures. The book is helpful, not necessary. Loved his laugh and his personality. 3",4.7,"PHENOMENAL, attendance, oral presentation, midterm, final, essay prompts, lectures, helpful, personality",0.4215,positive,Rich Carter,"attendance, lectures, midterm, personality, phenomenal",attendance,lectures,midterm,personality,phenomenal
RUN FOR YOUR LIFE. DO NOT TAKE HIM! EVER!,3.2,"negative, warning",-0.7269,negative,Jans Wager,"warning, negative",warning,negative,,,
"This guy is an Associate Dean. He needs to stop teaching and just go be a full time admin because he isn\'t a clear communicator. I got tired of him leaving class to go talk on his iPhone or how he HAD to mention that he owns a boat. We get it, you get paid a lot of money, but it\'s not because you\'re a good teacher and he isn\'t friendly to students.",2.3,"unprofessional, unclear communicator, distracted, arrogant",-0.872,negative,Bryan Eldredge,"unprofessional, arrogant, distracted, unclear communicator",unprofessional,arrogant,distracted,unclear communicator,
Avoid at ALL COSTS!!!! He is a very rude and boring old man. His test has nothing to do with the material. 55 minute lectures feel like 55 days. Honestly if his class is the only class that makes you a full time student it\'ll be better to stay part time.,2.0,"rude, boring, irrelevant tests, long lectures",-0.6486,negative,Robert Warden,"rude, boring, long lectures, irrelevant tests",rude,boring,long lectures,irrelevant tests,
"You could give the best examples of film interpretation in this class, and you grade may hinge above a B. That\'s if you\'re a genius. Although the class is easy, and there are 3 essays, aim for a B to B+ because n one gets higher than that.",3.4,"knowledgeable, engaging, high expectations, challenging",0.4588,positive,Jans Wager,"knowledgeable, engaging, challenging, high expectations",knowledgeable,engaging,challenging,high expectations,
"He is a very nice teacher and willing to work with every student. he gives alot of extra credit. go to class every day and take good notes, use the outline. make sure to study very hard for the tests though. he is funny and classes are interesting",2.9,"friendly, accommodating, extra credit, organized, funny, interesting",0.886,positive,William Hollinrake,"friendly, funny, interesting, accommodating, organized",friendly,funny,interesting,accommodating,organized
He\'s always 5 minutes late but he\'s always there for students. He will let you know exactly where you stand in class and is always willing to help you improve. Funny guy too when he relates his stories about his son Ian in class. Definitely take a class from Dr. Gordon.,3.7,"friendly, supportive, helpful, punctual",0.802,positive,Bryan Eldredge,"supportive, helpful, friendly, punctual",supportive,helpful,friendly,punctual,
"As others have stated, there are rediculous amounts of work for what you will get out of it. It is hard to teach something that you have never been involved in. Much of the material we went over was not relavent, plus outdated. EM majors must take him so don\'t waste your time with a EM major. Both classes were a waste.",2.4,"difficult, irrelevant, outdated, waste of time",-0.6486,negative,Leslie Looney,"irrelevant, outdated, difficult, waste of time",irrelevant,outdated,difficult,waste of time,
Tina is a great professor! Helped me so much in understanding graphic design in a whole new sense. She is also my advisor and has guided me well throughout the semesters. She\'s very understanding and is a fair grader as well. Loved her classes and her!,4.7,"great professor, understanding, advisor, guided well, fair grader, loved her classes",0.9081,positive,Margaret Mitchell,"advisor, understanding, loved her classes, guided well, great professor",advisor,understanding,loved her classes,guided well,great professor
"At the lower levels, Form and Space, JC was confusing and frustrating to have as a teacher. However, I found him to be a great guy and an even better professor when he is teaching a smaller and more advanced class. Although boring at times, he teaches technical aspects to sculpture that cannot be matched. If you do the work, you will be rewarded",2.6,"confusing, frustrating, great guy, better professor, boring, technical, rewarding",0.6486,positive,William Hollinrake,"frustrating, confusing, boring, rewarding, technical",frustrating,confusing,boring,rewarding,technical
He\'s very good at explaining complicated concepts in a simple way and is helpful if you reach out to him. But his tests are IMPOSSIBLE. The calc class I took was an hour and 10 mins and he requires his tests to be completed during 1 class period. The tests are very long and if you go over time he deducts points. Because of this I am failing.,4.3,"knowledgeable, helpful, strict, challenging",0.5267,positive,Michael Scarlatos,"knowledgeable, helpful, challenging, strict",knowledgeable,helpful,challenging,strict,
she was the worst teacher i\'ve ever had. she would have a different personality every day. and she rarely or should i say hardly ever passes anyone! so if you take her GOOD LUCK and have fun,2.3,"worst, different personality, rarely passes, good luck, have fun",-0.6894,negative,Leslie Looney,"worst, rarely passes, have fun, good luck, different personality",worst,rarely passes,have fun,good luck,different personality
"I HATED CHEMISTRY..STILL DO. BUT HE MAKES IT AS GOOD AS IT CAN BE. GO TO CLASS..DO NOT MISS. ASK QUESTIONS..VISIT HIS OFFICE..HE WILL HELP THOSE WHO TRY...DO PC HOMEWORK, BE ACTIVE IN LECTURES..HE CARES IF YOU DO. THIS ISNT AN EASY CLASS, ONCE YOU KNOW THAT..PREPARE AND TRANSCEND. DO NOT MISS CLASS. HAD HIM FOR LAB.THE SAME SENTIMENTS. MY GRADE B",4.2,"engaging, supportive, helpful, challenging, dedicated",0.875,positive,Robert Warden,"supportive, helpful, challenging, engaging, dedicated",supportive,helpful,challenging,engaging,dedicated
Great man and great teacher. If you think that he is easy though you probably have only taken Calc I with him and not Fourier Analysis--and YOU suck at math.,3.7,"Great teacher, Great man, Challenging, Demanding, Tough",0.8126,positive,William Hollinrake,"challenging, tough, demanding, great teacher, great man",challenging,tough,demanding,great teacher,great man
"His syllabus/announcements use 5 different fonts and is just a list of all of the things you aren\'t allowed to do. This class isn\'t about learning to code, it\'s about remembering his rules. Don\'t bother asking him for help. He won\'t answer questions. If you follow his rules on how to ask questions, he will respond, but he will not help you.",1.6,"strict, unhelpful, rigid, unresponsive",-0.128,negative,John Cunningham,"rigid, unresponsive, unhelpful, strict",rigid,unresponsive,unhelpful,strict,
"He is enthusiastic, but he\'s a ****.",3.3,"enthusiastic, NA",0.4939,positive,William Hollinrake,"na, enthusiastic",na,enthusiastic,,,
"Awesome prof!:-) She is very enthusiastic about the topic, extremely knowledgeable, and her class made me much more interested in the subject. She makes a real effort to make assignments interesting and non-repetitive. She is also super approachable and willing to help students out. I highly recommend taking a seminar course from her.",3.7,"enthusiastic, knowledgeable, interested, approachable, helpful, recommend",0.8807,positive,Mara Merlino,"knowledgeable, approachable, helpful, enthusiastic, interested",knowledgeable,approachable,helpful,enthusiastic,interested
"Reynolds is the best. Super sweet, helpful, easy class. Very accommodating to late papers.",2.8,"sweet, helpful, accommodating",0.7003,positive,Ruben Mouhiddan,"helpful, accommodating, sweet",helpful,accommodating,sweet,,
"This class was one of my favorites and Dr. Hupp has been one of my favorite professors. As long as you attend class, take good notes and study for the tests you will get an A. Should definitely take Dr. Hupp, he is a fantastic professor and is really funny",4.7,"favorite, professor, attend class, good notes, study, tests, A, fantastic, funny",0.9081,positive,Ann Lewald,"funny, study, professor, fantastic, favorite",funny,study,professor,fantastic,favorite
Very good professor and really consider students\' request. Test not hard but needs detailed reviews.,3.5,"considerate, good, detailed, reviews",0.7003,positive,Robert Warden,"considerate, reviews, detailed, good",considerate,reviews,detailed,good,
"As always, he doesn\'t do much to mislead his students. He tests you on what he says he\'ll test you on, save for about 10-20 points of stuff that isn\'t on the review to see if you really learned anything and didn\'t just memorize the review. It is very easy to do well in his class and the graduate students love him.",2.8,"reliable, straightforward, thorough, fair, easy to do well, loved by students",0.8807,positive,Bryan Eldredge,"thorough, straightforward, reliable, fair, loved by students",thorough,straightforward,reliable,fair,loved by students
you certainly learn a lot in his class - a little too much homework but it is all worth end of the term. his grading is fair and his lectures are great!,4.6,"learn a lot, homework, worth it, fair grading, great lectures",0.8074,positive,Robert Warden,"homework, worth it, learn a lot, great lectures, fair grading",homework,worth it,learn a lot,great lectures,fair grading
"Professor is super easy so just show up, get the midterm and final (both are take home), and you\'ll pass with an A. He gives one homework assignment that\'s due at the end of the semester, and it isn\'t too time consuming.",3.9,"easy, lenient, take home exams, one homework assignment",0.6124,positive,William Hollinrake,"lenient, easy, take home exams, one homework assignment",lenient,easy,take home exams,one homework assignment,
"Great professor, by far the best one I have had for an online class. About 4 essays throughout the class but makes it clear of what he expects. Gives feedback, even if it is just to say it was a good essay, which I believe means a lot.",3.4,"Great professor, best, clear expectations, feedback, good essay.",0.93,positive,William Hollinrake,"feedback, best, great professor, good essay., clear expectations",feedback,best,great professor,good essay.,clear expectations
This is one of the best professors I have had at this school. His lectures are very straight forward and if you take good notes and study there is no reason you shouldn\'t pass. It is also an added bonus that he is extremely funny and really engages the class. His exams are fair and a lot of times he will hint at questions he will ask during lecture,3.5,"best professor, straight forward lectures, good notes, study, engaging, funny, fair exams, hints at questions",0.9393,positive,Virgina Rivers,"funny, engaging, study, straight forward lectures, hints at questions",funny,engaging,study,straight forward lectures,hints at questions
"Shes very helpful and commited to the subject. Very knowledgeable. Keep up with the readings and your bound to get a good grade. Simple T/F quizzes to keep your grade up, and 2-3 papers during the course. I would recommend this teacher to anyone looking for a fun, interesting history class.",3.1,"helpful, committed, knowledgeable, recommend, fun, interesting",0.9081,positive,Jans Wager,"helpful, knowledgeable, interesting, fun, recommend",helpful,knowledgeable,interesting,fun,recommend
This is the BEST teacher for math ever! She really helps you understand how to use the TI-86 Graphing calculator and doe problems in class step by step..,4.4,"BEST, helps understand, step by step",0.8192,positive,Wolfgang Ziller,"best, step by step, helps understand",best,step by step,helps understand,,
"I dropped this class. Dr. Ream is super nice and kinda a cute old man. He tries to make jokes but doesn\'t laugh at them so it just becomes awkward. Anyway, he is very hard to follow. Im bad at math as it is but I just could not go on in this class. His lectures are all over the place. Some classmates seemed to follow but I just did not.",2.8,"nice, awkward, hard to follow, all over the place",0.2023,positive,Rich Carter,"awkward, nice, hard to follow, all over the place",awkward,nice,hard to follow,all over the place,
absolutely awful. how does this man still have a job here?,1.8,"awful, NA",-0.4588,negative,Angelica Vessella,"na, awful",na,awful,,,
Follows the syllabus. You will have a quiz at the beginning of each class based on the current topic. All test and quizzes are open book. Test your knowledge on quizzes to see your proficiency on the topic through tricky questions.,3.3,"- Organized, Punctual, Engaging, Supportive, Challenging",0.6369,positive,Robert Warden,"supportive, punctual, challenging, engaging, - organized",supportive,punctual,challenging,engaging,- organized
Wonderful professor. Cares about students and is highly dedicated to the topics he teaches.,3.2,"Wonderful, Cares about students, Highly dedicated",0.8748,positive,Wolfgang Ziller,"wonderful, highly dedicated, cares about students",wonderful,highly dedicated,cares about students,,
"Good prof. Cares and gives you multiple opportunities to succeed. Always willing to answer questions outside of class. My first class with him. Tests are hard, but watch the videos. Go to class and pay attention because it helps you learn. Definitely would take him again! Not an easy class though.",4.2,"Cares, multiple opportunities, willing to answer questions, hard tests, watch videos, go to class, pay attention, helps learn, would take again, not easy.",0.6116,positive,Mara Merlino,"cares, would take again, willing to answer questions, watch videos, pay attention",cares,would take again,willing to answer questions,watch videos,pay attention
She sometimes lectures but she likes to rant about today\'s politics most of the time. Her rubric and instructions for getting an A during an Exam is very unclear since everyone in the class followed them and no one got anything above a B-. Coming from a Computer Science Student who gets A\'s and B\'s this is the first grade below B- that I\'m getting.,2.3,"lectures, rants, unclear, rubric, instructions, unclear, below B-",-0.6486,negative,Robert Warden,"unclear, unclear, instructions, lectures, rants",unclear,unclear,instructions,lectures,rants
"I don\'t know why people are so bitter towards this prof, she\'s actually great. Gave out 3% in free bonus marks to basically everyone. The midterm on the syllabus said chapters 1-7, she made it easier by only covering chapters 2,3,4, and 7. I studied total 12 hrs for midterm and got an A. Content on tests were directly from textbook and lectures.",3.3,"Great, Bonus marks, Easy midterm, Considerate, Helpful, Direct content, Clear expectations",0.9571,positive,Leslie Looney,"considerate, helpful, great, easy midterm, direct content",considerate,helpful,great,easy midterm,direct content
Everyday I left with a migraine. HORRIBLE. Her voice makes me want to cringe. I can\'t believe I have to take more classes with her for the ECE major.,3.5,"HORRIBLE, cringe, NA",-0.6408,negative,Leslie Looney,"cringe, horrible, na",cringe,horrible,na,,
What a funny guy yet such a horrible professor. All he does is draw little figures and mumble. Tests and final are take home. Doesn\'t teach. All he care about is project project project. Worst part is he teaches 4 major classes and he is only professor for both of them.,3.8,"funny, horrible, mumble, tests, take home, project, worst, teaches multiple classes",-0.6908,negative,Robert Warden,"horrible, funny, worst, mumble, tests",horrible,funny,worst,mumble,tests
"He is very helpful and as long as you show you are trying, doing homework, taking notes, etc. you will pass. His tests are thorough but his grading methods are fair.",4.5,"helpful, fair, thorough",0.6249,positive,Jans Wager,"thorough, helpful, fair",thorough,helpful,fair,,
"She\'s a nice, sweet teacher even though her lectures can be a tad boring. She\'s funny and tries to lighten up the class if none of the students participates. Her tests doesn\'t really match of what she lectures you just have to read the whole chapter to get the answers.",3.3,"nice, sweet, boring, funny, tries to lighten up, tests don't match lectures, requires reading whole chapter",0.7506,positive,Leslie Looney,"funny, nice, boring, sweet, tries to lighten up",funny,nice,boring,sweet,tries to lighten up
"Used to be my best subject but very tough/confusing professor. He means well but honestly the language barrier WAS an issue and his grading was ridiculous. He handed back a paper 3 times to ""fix"" without reading/grading past 1st page, so I never knew what to work on and got bad grade anyways. Talking to him was no help, he acted like I was stupid.",3.7,"tough, confusing, language barrier, grading issue, ridiculous, unhelpful",-0.6597,negative,Jans Wager,"unhelpful, confusing, ridiculous, tough, language barrier",unhelpful,confusing,ridiculous,tough,language barrier
Stokesbury knows his****. I learned more in this class than any other I\'ve taken at GSU. But his testing methods are pretty archaic. He\'s from the old school of-chew-you-up-spit-you-out-and-see-if- you-can-dance kind of teaching. And he\'s a dick.,2.9,"knowledgeable, effective teaching, old-school, tough, strict",0.3818,positive,Sally Mallory,"tough, strict, knowledgeable, old-school, effective teaching",tough,strict,knowledgeable,old-school,effective teaching
"Dr. Rose is a nice person who loves what she does, but she is not good at teaching a large class. She goes through slides too quickly, not caring if people are still writing. The stories she chooses are strange and the assignments are unclear. I wouldn\'t take another class taught by her.",3.7,"nice, loves what she does, not good at teaching, goes through slides quickly, not caring, strange stories, unclear assignments, wouldn't take another class",0.2635,positive,Jans Wager,"nice, wouldn't take another class, unclear assignments, strange stories, not good at teaching",nice,wouldn't take another class,unclear assignments,strange stories,not good at teaching
"As previously stated, he is very intelligent, and challenges ppl intellectually. However, because he is so intelligent, he makes things more complex than they have to be. I do recommend him if you are into thinking and intellecutal growth. If you are just up to getting easy A\'s, then avoid him at all costs.",2.8,"intelligent, challenges intellectually, complex, recommend, thinking, intellectual growth, avoid",0.8979,positive,Robert Warden,"intelligent, recommend, thinking, avoid, complex",intelligent,recommend,thinking,avoid,complex
"Professors need to have a lot of knowledge and know how to teach and Kozbelt is very good with both. for psy 57 t/f quiz every week, helps keep things fresh for the tests. just take good notes, listen to how he outlines to course, and read the textbook. hes really smart and a good teacher.",4.7,"knowledgeable, good teacher, smart, organized",0.6808,positive,Pat Ledbetter,"knowledgeable, smart, organized, good teacher",knowledgeable,smart,organized,good teacher,
"Sure his jokes were tasteless at times, but I learned a lot.",3.5,"tasteless, learned",0.0,neutral,Robert Warden,"tasteless, learned",tasteless,learned,,,
This professor was terrible.,4.0,terrible,-0.4767,negative,Bryan Eldredge,terrible,terrible,,,,
